open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666189800000,7.71360000,7.74000000,7.66010000,7.73490000,217884.71000000,1666190099999,1680286.20671700,1777,109368.77000000,843604.02815800,0
1666190100000,7.73490000,7.83690000,7.68000000,7.79570000,295910.82000000,1666190399999,2297764.67968200,2413,152046.25000000,1179940.69724600,0
1666190400000,7.79370000,7.79510000,7.75020000,7.77000000,65245.12000000,1666190699999,506922.69975300,1289,27754.64000000,215747.40631100,0
1666190700000,7.77010000,7.77980000,7.71250000,7.71360000,91532.76000000,1666190999999,708232.24940300,1143,31777.18000000,245907.29206400,0
1666191000000,7.71530000,7.86040000,7.71000000,7.80170000,153424.91000000,1666191299999,1196326.29141700,2019,88269.91000000,688372.72624800,0
1666191300000,7.80190000,7.83170000,7.77070000,7.77280000,44936.45000000,1666191599999,350428.13684600,1023,19064.65000000,148702.17447500,0
1666191600000,7.77510000,7.85420000,7.77080000,7.79130000,113322.53000000,1666191899999,885730.04439300,1978,55889.51000000,436853.36793500,0
1666191900000,7.79280000,7.87830000,7.75600000,7.84200000,105432.66000000,1666192199999,825562.64385600,1727,48291.41000000,378141.54432800,0
1666192200000,7.84200000,7.87460000,7.80020000,7.86020000,135551.22000000,1666192499999,1063896.69299400,1865,70069.73000000,549921.74958900,0
1666192500000,7.85610000,7.92050000,7.81300000,7.81680000,176598.88000000,1666192799999,1389689.64966400,2566,78111.48000000,615257.52950900,0
1666192800000,7.82000000,7.84220000,7.79030000,7.81640000,58724.53000000,1666193099999,459047.68070700,1230,27585.94000000,215684.71878900,0
1666193100000,7.81960000,7.82710000,7.74190000,7.75500000,41158.87000000,1666193399999,320234.25155600,1085,12191.25000000,94911.01326400,0
1666193400000,7.75030000,7.77490000,7.70990000,7.73900000,87014.42000000,1666193699999,674037.05699600,1553,39836.37000000,308639.75122400,0
1666193700000,7.73910000,7.79400000,7.71840000,7.77810000,89213.64000000,1666193999999,692179.76237400,1343,42638.85000000,330794.06692700,0
1666194000000,7.78450000,7.82700000,7.77020000,7.81300000,72295.73000000,1666194299999,563792.28633800,1103,40386.61000000,315059.28697100,0
1666194300000,7.81280000,7.84390000,7.78480000,7.80920000,44253.91000000,1666194599999,345825.29229400,882,16686.69000000,130330.59526500,0
1666194600000,7.80940000,7.86590000,7.79190000,7.84150000,52766.22000000,1666194899999,413269.31937100,1001,25579.59000000,200384.58942400,0
1666194900000,7.84250000,7.85320000,7.82300000,7.82650000,36352.75000000,1666195199999,284959.25039600,861,11549.28000000,90515.31328800,0
1666195200000,7.82620000,7.82660000,7.76510000,7.77920000,59867.01000000,1666195499999,466467.56492500,1201,29275.03000000,228171.48513400,0
1666195500000,7.78160000,7.85210000,7.77620000,7.82780000,87785.51000000,1666195799999,686601.09152600,1581,51531.61000000,403009.16425800,0
1666195800000,7.82260000,7.82440000,7.72000000,7.77580000,96331.18000000,1666196099999,747221.05345800,1503,34411.54000000,266990.56443900,0
1666196100000,7.77580000,7.78190000,7.69640000,7.70790000,90948.90000000,1666196399999,701750.94341900,1351,35520.38000000,274290.59320700,0
1666196400000,7.70720000,7.73000000,7.64410000,7.66790000,169199.28000000,1666196699999,1299306.27224100,1598,75621.99000000,580504.32429300,0
1666196700000,7.66790000,7.71000000,7.66060000,7.71000000,60173.27000000,1666196999999,463078.24009100,960,41992.05000000,323244.74763400,0
1666197000000,7.70710000,7.75000000,7.68000000,7.73800000,109178.08000000,1666197299999,841727.17623400,1167,72712.06000000,560740.48871600,0
1666197300000,7.73840000,7.74990000,7.68550000,7.68900000,47786.96000000,1666197599999,368777.35107500,872,16605.19000000,128313.78309100,0
1666197600000,7.69270000,7.70500000,7.64140000,7.65640000,75528.00000000,1666197899999,580199.03590200,955,33268.84000000,255750.81853300,0
1666197900000,7.65740000,7.68310000,7.62690000,7.66960000,80399.79000000,1666198199999,614868.16962700,1031,36450.22000000,278789.52200000,0
1666198200000,7.66990000,7.72900000,7.66650000,7.72270000,124186.40000000,1666198499999,956832.22541000,1165,86678.89000000,667925.32827900,0
1666198500000,7.72530000,7.73000000,7.70000000,7.73000000,37046.97000000,1666198799999,285756.77065000,611,19991.47000000,154255.60142500,0
1666198800000,7.73010000,7.76170000,7.70000000,7.70530000,46025.07000000,1666199099999,355542.64837100,897,16923.78000000,130799.33208400,0
1666199100000,7.70120000,7.70670000,7.64050000,7.66210000,73117.52000000,1666199399999,560759.71981500,919,25632.45000000,196441.33321200,0
1666199400000,7.66030000,7.68820000,7.61620000,7.68430000,80989.85000000,1666199699999,619111.06462600,968,33738.14000000,257995.65773100,0
