,DateTime,Token,TimeFrame,LastPrice,% Change,Avg Num Trade,Avg Volume,Volume/Trade,Volatility
163,2022-10-27 10:00:00,ONEUSDT,15m,0.02,0.0,332.945,55156.259589999994,165.66177473756926,0.0%
164,2022-09-26 04:00:00,ONEUSDT,1h,0.02,0.0,877.16,148903.51906,169.7563945688358,0.0%
165,2022-11-06 18:42:42,FTMUSDT,1s,0.27,0.0,1.335,407.75479,305.43429962546816,nan%
166,2022-11-06 02:20:00,FTMUSDT,1m,0.27,-3.703703703703707,66.716,19587.71553,293.5984700821393,1.63%
167,2022-11-03 08:40:00,FTMUSDT,5m,0.27,3.703703703703707,671.824,199945.87294,297.6164485639096,2.68%
168,2022-10-27 10:00:00,FTMUSDT,15m,0.27,18.518518518518523,1317.059,400581.13790000003,304.1482104446346,6.11%
169,2022-09-26 04:00:00,FTMUSDT,1h,0.26,15.384615384615389,2197.367,708477.4055499999,322.42106373218485,2.59%
170,2022-11-06 18:42:44,ALGOUSDT,1s,0.4,-2.4999999999999885,2.197,693.09553,315.473614019117,nan%
171,2022-11-06 02:20:00,ALGOUSDT,1m,0.4,-9.999999999999995,126.743,32370.126239999998,255.39971627624405,0.58%
172,2022-11-03 08:40:00,ALGOUSDT,5m,0.4,10.000000000000009,688.183,182609.39440000002,265.3500513671509,3.54%
173,2022-10-27 10:00:00,ALGOUSDT,15m,0.4,17.5,1198.075,316227.96849,263.9467216075788,5.03%
174,2022-09-26 04:00:00,ALGOUSDT,1h,0.4,7.500000000000007,2526.687,701982.56951,277.82727718550024,2.49%
175,2022-11-06 18:42:46,DOGEUSDT,1s,0.11,0.0,11.095,6119.9026699999995,551.5910473186119,0.0%
176,2022-11-06 02:20:00,DOGEUSDT,1m,0.11,-9.090909090909086,364.983,167972.55206000002,460.22020768090573,0.0%
177,2022-11-03 08:40:00,DOGEUSDT,5m,0.11,-18.181818181818183,2585.696,1318169.8934700002,509.79306672942226,3.88%
178,2022-10-27 10:00:00,DOGEUSDT,15m,0.11,27.27272727272727,16630.51,8412745.65752,505.86215681419276,13.71%
179,2022-09-26 04:00:00,DOGEUSDT,1h,0.11,45.45454545454546,20327.827,9758165.238529999,480.0397621708409,29.01%
180,2022-11-06 18:42:49,DUSKUSDT,1s,0.13,0.0,0.112,12.49642,111.57517857142858,nan%
181,2022-11-06 02:20:00,DUSKUSDT,1m,0.13,-7.692307692307699,7.951,1419.70669,178.55699786190416,0.0%
182,2022-11-03 08:40:00,DUSKUSDT,5m,0.13,-7.692307692307699,68.14,11143.49827,163.53827810390374,0.0%
183,2022-10-27 10:00:00,DUSKUSDT,15m,0.13,0.0,153.599,23497.58146,152.98004192735633,3.12%
184,2022-09-26 04:00:00,DUSKUSDT,1h,0.13,15.384615384615389,429.408,71026.9056,165.40657276995304,3.27%
185,2022-11-06 18:42:51,ANKRUSDT,1s,0.03,0.0,0.266,44.89087999999999,168.76270676691723,nan%
186,2022-11-06 02:20:00,ANKRUSDT,1m,0.03,0.0,12.611,2990.1148700000003,237.10370866703673,0.0%
187,2022-11-03 08:40:00,ANKRUSDT,5m,0.03,0.0,85.614,19717.46845,230.30659062770107,0.0%
188,2022-10-27 10:00:00,ANKRUSDT,15m,0.03,0.0,248.99,56770.84771,228.00452913771636,0.0%
189,2022-09-26 04:00:00,ANKRUSDT,1h,0.03,0.0,857.358,184771.82423,215.5130344966747,0.0%
190,2022-11-06 18:42:54,MTLUSDT,1s,1.0,0.0,0.193,26.05657,135.0081347150259,nan%
191,2022-11-06 02:20:00,MTLUSDT,1m,1.0,-4.0000000000000036,7.348,1084.17414,147.5468345127926,0.7%
192,2022-11-03 08:40:00,MTLUSDT,5m,1.0,2.0000000000000018,56.223,10536.87597,187.41219732138092,1.87%
193,2022-10-27 10:00:00,MTLUSDT,15m,1.0,-2.0000000000000018,106.145,18297.01675,172.37756606528805,1.17%
194,2022-09-26 04:00:00,MTLUSDT,1h,0.99,-6.060606060606066,281.035,47890.172150000006,170.40643389613393,1.64%
195,2022-11-06 18:42:56,TOMOUSDT,1s,0.44,-2.2727272727272747,0.032,2.99706,93.658125,nan%
196,2022-11-06 02:20:00,TOMOUSDT,1m,0.44,-6.818181818181812,2.561,220.71831999999998,86.18442795782897,0.48%
